id_n,total_gross_income,total_taxable_income,ssc_w,total_pit
442776,201991,132443,55548,13244
579730,229911,73655,60256,7366
11993,234296,77002,61294,7710
70079,197606,131223,26383,18206
341053,230260,74012,60248,7401
743625,193261,89600,50061,8960
530332,228608,72823,59785,7282
616077,184406,62970,38250,6297
81798,232114,75033,61081,7503
195244,225419,67429,61990,6743
527522,219790,63542,60248,6389
653760,187276,123263,38195,12326
685097,217132,43426,0,4343
198629,231211,74684,60528,7468
408449,211490,211490,0,31724
691880,232228,75482,60746,7548
662285,231801,75139,60662,7514
568267,200733,62970,54285,6297
214331,229858,73764,60094,7376
294452,224526,80131,58662,8013
574345,219864,174044,17820,17404
541576,225266,68879,60787,6888
225610,182078,80293,46985,8029
354241,188673,75201,48777,7520
715365,209474,86985,54489,8699
149120,231129,74651,60478,7465
79034,217280,61528,59752,6153
577868,198082,64447,51417,6445
142326,229697,73216,60481,7322
407468,219979,63485,60494,6348
604617,214623,67602,59021,6760
690414,207654,102549,57105,10255
427139,225483,70412,59071,7041
41913,209980,61690,57745,6169
764257,221715,57180,27594,5750
44470,217494,169931,0,25490
365870,228542,69998,62544,7000
247184,199930,56980,54950,5698
518362,186600,62942,48229,6294
163094,231147,74668,60479,7467
394461,212389,91922,55324,9192
713573,196855,54720,54135,5472
281198,195835,121571,53693,12187
383203,226465,102385,62278,10239
148418,210171,78483,54088,7848
814931,225520,115502,62018,11550
661989,223689,90105,51584,9011
799152,219110,62855,60255,6285
182956,231031,74553,60478,7455
710421,195032,92355,53634,9236
205062,228430,72678,59752,7268
228449,225495,115995,55900,11599
98380,225531,80979,60799,8098
768627,192837,167799,10181,16780
462817,231961,75166,60795,7517
487815,230275,74032,60243,7403
601193,185287,65941,47871,6594
670104,222234,100206,58028,10021
756839,184951,68833,47754,6883
761941,228851,73034,59817,7303
385961,233923,76668,61255,7667
314543,214289,69573,58929,6957
47897,215852,60523,59329,6052
20072,209431,60789,57594,6079
671416,230206,73955,60251,7395
490724,225747,69442,60305,6944
330772,204807,87914,56322,8791
563074,232050,101833,55347,10966
669957,208876,69721,54355,6972
34986,226415,73042,59191,7304
878651,225234,180187,0,27028
730286,228402,72678,59725,7268
38545,234809,74237,64572,7424
743400,228574,72799,59775,7280
574029,231976,75256,60720,7526
588121,232610,111538,60882,11154
352276,217631,62452,59543,6245
194627,220701,64619,60082,6462
164256,213248,60510,58643,6051
110141,219373,63351,60022,6335
104332,230082,73796,60286,7380
159044,228479,70564,61915,7056
354041,230271,74020,60251,7402
481497,230941,74457,60484,7446
667790,231306,75058,60248,7506
647707,229773,73522,60251,7352
362375,184856,166372,0,24956
733755,187763,168986,0,25348
300139,224059,66443,61616,6644
165573,230133,71457,62676,7146
539571,184918,72763,49026,7276
723977,229949,73952,59997,7395
308636,225656,69128,60528,6913
592227,231724,75666,60058,7567
88996,183530,183530,0,18353
301401,220339,85968,52771,8597
241594,205610,114284,56543,11428
287649,234806,78151,60655,7967
295310,195881,66767,50785,6677
390409,235344,116539,60623,11760
549045,230195,73947,60248,7395
5269,231740,75098,60642,7510
188798,231859,74920,62539,7492
573004,220348,88384,57488,8838
375447,194349,150693,0,20177
608450,225645,67593,62052,6759
108901,231000,74775,60225,7478
793182,222602,76050,58154,7605
452626,230625,74259,60366,7426
235249,221328,221328,0,33199
268560,228132,72478,59654,7248
13588,232179,121593,60767,12159
708232,225222,68699,61631,6870
