id_n,total_gross_income,total_taxable_income,total_pit,total_net_icome
296045,536976,293308,29331,0
204050,536985,300756,30076,0
299880,536992,318602,36124,0
617800,537000,293325,29332,0
632242,537012,293334,29333,0
785461,537012,293334,29333,0
673747,537012,293334,29333,0
67126,537012,293334,29333,0
533278,537048,293665,29367,0
796764,537051,298127,29813,0
58844,537057,296364,29636,0
785391,537062,307862,34015,0
95828,537084,316977,31698,0
690402,537091,293391,29339,0
627019,537117,293410,29341,0
798907,537134,298311,29831,0
400206,537153,297871,29787,0
528542,537171,308171,30859,0
30141,537190,296566,29657,0
375140,537217,537217,54472,0
310985,537257,294833,30372,0
153052,537261,310111,35325,0
715839,537274,304535,30454,0
309048,537279,298400,30087,0
551519,537327,294045,29404,0
359835,537334,337272,34586,0
733295,537337,296652,29665,0
449738,537344,152851,15285,0
706355,537352,309009,31651,0
779303,537374,303680,30368,0
590053,537374,301484,30148,0
763442,537378,296560,29670,0
532425,537379,297278,29838,0
289000,537416,293026,29369,0
713853,537419,304116,32318,0
92605,537424,374575,51630,0
335210,537428,298176,29818,0
